# Region type : patch inlet
# Faces       : 150
# Area        : 1.100000e-03
# Scale factor: 1.000000e+00
# Time        	sum(phi)
1.54532       	-7.920000e-03
1.54568       	-7.920000e-03
1.54605       	-7.920000e-03
1.54643       	-7.920000e-03
1.5468        	-7.920000e-03
1.54717       	-7.920000e-03
1.54754       	-7.920000e-03
1.54792       	-7.920000e-03
1.54829       	-7.920000e-03
1.54867       	-7.920000e-03
1.54904       	-7.920000e-03
1.54942       	-7.920000e-03
1.5498        	-7.920000e-03
1.55017       	-7.920000e-03
1.55055       	-7.920000e-03
1.55093       	-7.920000e-03
1.55131       	-7.920000e-03
1.55169       	-7.920000e-03
1.55207       	-7.920000e-03
1.55245       	-7.920000e-03
1.55283       	-7.920000e-03
1.55321       	-7.920000e-03
1.55359       	-7.920000e-03
1.55397       	-7.920000e-03
1.55435       	-7.920000e-03
1.55474       	-7.920000e-03
1.55512       	-7.920000e-03
1.5555        	-7.920000e-03
1.55589       	-7.920000e-03
1.55628       	-7.920000e-03
1.55667       	-7.920000e-03
1.55706       	-7.920000e-03
1.55745       	-7.920000e-03
1.55784       	-7.920000e-03
1.55823       	-7.920000e-03
1.55862       	-7.920000e-03
1.55901       	-7.920000e-03
1.5594        	-7.920000e-03
1.5598        	-7.920000e-03
1.56019       	-7.920000e-03
1.56058       	-7.920000e-03
1.56097       	-7.920000e-03
1.56137       	-7.920000e-03
1.56176       	-7.920000e-03
1.56215       	-7.920000e-03
1.56254       	-7.920000e-03
1.56294       	-7.920000e-03
1.56333       	-7.920000e-03
1.56372       	-7.920000e-03
1.56411       	-7.920000e-03
1.5645        	-7.920000e-03
1.56489       	-7.920000e-03
1.56529       	-7.920000e-03
1.56568       	-7.920000e-03
1.56607       	-7.920000e-03
1.56646       	-7.920000e-03
1.56685       	-7.920000e-03
1.56724       	-7.920000e-03
1.56763       	-7.920000e-03
1.56802       	-7.920000e-03
1.56841       	-7.920000e-03
1.5688        	-7.920000e-03
1.56918       	-7.920000e-03
1.56957       	-7.920000e-03
1.56995       	-7.920000e-03
1.57034       	-7.920000e-03
1.57072       	-7.920000e-03
1.5711        	-7.920000e-03
1.57148       	-7.920000e-03
1.57186       	-7.920000e-03
1.57224       	-7.920000e-03
1.57262       	-7.920000e-03
1.57299       	-7.920000e-03
1.57336       	-7.920000e-03
1.57378       	-7.920000e-03
1.57419       	-7.920000e-03
1.57458       	-7.920000e-03
1.57497       	-7.920000e-03
1.57534       	-7.920000e-03
1.57572       	-7.920000e-03
1.57613       	-7.920000e-03
1.57654       	-7.920000e-03
1.57693       	-7.920000e-03
1.57733       	-7.920000e-03
1.57774       	-7.920000e-03
1.57812       	-7.920000e-03
1.57851       	-7.920000e-03
1.57889       	-7.920000e-03
1.57927       	-7.920000e-03
1.57966       	-7.920000e-03
1.58005       	-7.920000e-03
1.58043       	-7.920000e-03
1.58082       	-7.920000e-03
1.58121       	-7.920000e-03
1.58159       	-7.920000e-03
1.58198       	-7.920000e-03
1.58237       	-7.920000e-03
1.58276       	-7.920000e-03
1.58315       	-7.920000e-03
1.58355       	-7.920000e-03
1.58394       	-7.920000e-03
1.58433       	-7.920000e-03
1.58473       	-7.920000e-03
1.58512       	-7.920000e-03
1.58551       	-7.920000e-03
1.58591       	-7.920000e-03
1.58631       	-7.920000e-03
1.5867        	-7.920000e-03
1.5871        	-7.920000e-03
1.5875        	-7.920000e-03
1.5879        	-7.920000e-03
1.5883        	-7.920000e-03
1.58869       	-7.920000e-03
1.58911       	-7.920000e-03
1.58954       	-7.920000e-03
1.58996       	-7.920000e-03
1.59037       	-7.920000e-03
1.59077       	-7.920000e-03
1.59116       	-7.920000e-03
1.59155       	-7.920000e-03
1.59195       	-7.920000e-03
1.59235       	-7.920000e-03
1.59275       	-7.920000e-03
1.59315       	-7.920000e-03
1.59355       	-7.920000e-03
1.59395       	-7.920000e-03
1.59435       	-7.920000e-03
1.59476       	-7.920000e-03
1.59516       	-7.920000e-03
1.59556       	-7.920000e-03
1.59596       	-7.920000e-03
1.59636       	-7.920000e-03
1.59676       	-7.920000e-03
1.59716       	-7.920000e-03
1.59756       	-7.920000e-03
1.59796       	-7.920000e-03
1.59836       	-7.920000e-03
1.59876       	-7.920000e-03
1.59916       	-7.920000e-03
1.59956       	-7.920000e-03
1.59996       	-7.920000e-03
1.60036       	-7.920000e-03
1.60076       	-7.920000e-03
1.60116       	-7.920000e-03
1.60156       	-7.920000e-03
1.60196       	-7.920000e-03
1.60236       	-7.920000e-03
1.60276       	-7.920000e-03
1.60316       	-7.920000e-03
1.60356       	-7.920000e-03
1.60396       	-7.920000e-03
1.60436       	-7.920000e-03
