# Field minima and maxima
# Time        	field         	min           	location(min) 	processor     	max           	location(max) 	processor     
1.54532       	U             	(-2.676518e+00 -6.782751e-01 -6.941475e-27)	(1.542229e-02 1.523846e-02 1.100000e-02)	0	(1.186450e+01 8.518071e-01 1.289825e-27)	(6.637247e-03 1.787976e-02 1.100000e-02)	0
1.54532       	k             	2.922230e-04	(1.561886e-02 1.468819e-02 1.100000e-02)	0	1.300296e+01	(-1.505568e-01 1.059942e-05 1.100000e-02)	4
1.54532       	p_rgh         	1.663090e+03	(3.544286e-02 1.694042e-02 1.100000e-02)	1	7.067030e+04	(1.111600e+00 -1.069936e-02 1.100000e-02)	8
1.54532       	omega         	1.299880e+02	(1.107825e+00 -3.643142e-02 1.100000e-02)	8	5.430720e+05	(8.844358e-03 1.555013e-02 1.100000e-02)	0
1.54568       	U             	(-2.590594e+00 2.017511e-02 -3.001933e-27)	(8.487042e-03 1.572179e-02 1.100000e-02)	0	(1.175981e+01 9.341346e-01 1.168451e-27)	(6.637247e-03 1.787976e-02 1.100000e-02)	0
1.54568       	k             	2.922230e-04	(1.561886e-02 1.468819e-02 1.100000e-02)	0	1.279766e+01	(-1.505568e-01 1.059942e-05 1.100000e-02)	4
1.54568       	p_rgh         	1.647554e+03	(3.773256e-02 1.685938e-02 1.100000e-02)	1	7.071113e+04	(1.111600e+00 -9.690407e-03 1.100000e-02)	8
1.54568       	omega         	1.301243e+02	(1.107825e+00 -3.643142e-02 1.100000e-02)	8	5.430720e+05	(8.844358e-03 1.555013e-02 1.100000e-02)	0
1.54605       	U             	(-1.378118e+00 -2.298692e-01 -5.465471e-27)	(8.846516e-03 1.560426e-02 1.100000e-02)	0	(1.168589e+01 9.377707e-01 1.305040e-27)	(6.637247e-03 1.787976e-02 1.100000e-02)	0
1.54605       	k             	2.922230e-04	(1.561886e-02 1.468819e-02 1.100000e-02)	0	1.272337e+01	(-1.505568e-01 1.059942e-05 1.100000e-02)	4
1.54605       	p_rgh         	1.628422e+03	(4.010758e-02 1.677593e-02 1.100000e-02)	1	7.073888e+04	(1.111600e+00 -9.690407e-03 1.100000e-02)	8
1.54605       	omega         	1.302725e+02	(1.107825e+00 -3.643142e-02 1.100000e-02)	8	5.430720e+05	(8.844358e-03 1.555013e-02 1.100000e-02)	0
1.54643       	U             	(-2.089124e+00 -2.570079e-01 -2.546818e-27)	(9.584096e-03 1.554808e-02 1.100000e-02)	0	(1.156197e+01 9.627135e-01 1.189524e-27)	(6.637247e-03 1.787976e-02 1.100000e-02)	0
1.54643       	k             	2.922230e-04	(1.561886e-02 1.468819e-02 1.100000e-02)	0	1.271457e+01	(-1.505568e-01 1.059942e-05 1.100000e-02)	4
1.54643       	p_rgh         	1.623058e+03	(4.224353e-02 1.753636e-02 1.100000e-02)	6	7.076158e+04	(1.111600e+00 -9.690407e-03 1.100000e-02)	8
1.54643       	omega         	1.304316e+02	(1.107825e+00 -3.643142e-02 1.100000e-02)	8	5.430720e+05	(8.844358e-03 1.555013e-02 1.100000e-02)	0
1.5468        	U             	(-2.734554e+00 -1.909333e-02 -6.763140e-27)	(1.033807e-02 1.551288e-02 1.100000e-02)	0	(1.119870e+01 3.037002e+00 5.572708e-27)	(8.636733e-04 1.690622e-02 1.100000e-02)	2
1.5468        	k             	2.922230e-04	(1.561886e-02 1.468819e-02 1.100000e-02)	0	1.271997e+01	(-1.505568e-01 1.059942e-05 1.100000e-02)	4
1.5468        	p_rgh         	1.814386e+03	(1.904617e-02 1.514249e-02 1.100000e-02)	0	7.078221e+04	(1.111600e+00 -9.690407e-03 1.100000e-02)	8
1.5468        	omega         	1.306010e+02	(1.107825e+00 -3.643142e-02 1.100000e-02)	8	5.430720e+05	(8.844358e-03 1.555013e-02 1.100000e-02)	0
