# Region type : patch outlet
# Faces       : 150
# Area        : 2.420000e-03
# Scale factor: 1.000000e+00
# Time        	sum(phi)
1.54532       	7.968037e-03
1.54568       	7.968944e-03
1.54605       	7.969521e-03
1.54643       	7.969851e-03
1.5468        	7.971635e-03
1.54717       	7.972021e-03
1.54754       	7.972336e-03
1.54792       	7.972401e-03
1.54829       	7.972171e-03
1.54867       	7.971710e-03
1.54904       	7.971325e-03
1.54942       	7.971330e-03
1.5498        	7.971420e-03
1.55017       	7.970858e-03
1.55055       	7.969487e-03
1.55093       	7.967549e-03
1.55131       	7.965705e-03
1.55169       	7.964850e-03
1.55207       	7.965302e-03
1.55245       	7.966503e-03
1.55283       	7.966607e-03
1.55321       	7.964713e-03
1.55359       	7.961556e-03
1.55397       	7.959323e-03
1.55435       	7.957327e-03
1.55474       	7.956601e-03
1.55512       	7.955303e-03
1.5555        	7.951320e-03
1.55589       	7.946123e-03
1.55628       	7.941120e-03
1.55667       	7.937430e-03
1.55706       	7.936266e-03
1.55745       	7.933801e-03
1.55784       	7.930258e-03
1.55823       	7.926872e-03
1.55862       	7.923844e-03
1.55901       	7.920979e-03
1.5594        	7.917952e-03
1.5598        	7.914818e-03
1.56019       	7.911362e-03
1.56058       	7.907990e-03
1.56097       	7.905109e-03
1.56137       	7.902096e-03
1.56176       	7.898900e-03
1.56215       	7.896015e-03
1.56254       	7.893422e-03
1.56294       	7.891170e-03
1.56333       	7.888584e-03
1.56372       	7.885521e-03
1.56411       	7.882126e-03
1.5645        	7.878474e-03
1.56489       	7.874496e-03
1.56529       	7.870581e-03
1.56568       	7.867183e-03
1.56607       	7.867826e-03
1.56646       	7.863572e-03
1.56685       	7.859851e-03
1.56724       	7.857776e-03
1.56763       	7.855722e-03
1.56802       	7.853834e-03
1.56841       	7.852429e-03
1.5688        	7.850982e-03
1.56918       	7.849507e-03
1.56957       	7.848112e-03
1.56995       	7.846737e-03
1.57034       	7.845596e-03
1.57072       	7.844585e-03
1.5711        	7.843781e-03
1.57148       	7.843206e-03
1.57186       	7.842725e-03
1.57224       	7.842433e-03
1.57262       	7.843749e-03
1.57299       	7.845143e-03
1.57336       	7.850582e-03
1.57378       	7.843376e-03
1.57419       	7.853505e-03
1.57458       	7.846360e-03
1.57497       	7.851282e-03
1.57534       	7.844566e-03
1.57572       	7.836753e-03
1.57613       	7.832318e-03
1.57654       	7.827180e-03
1.57693       	7.821902e-03
1.57733       	7.815868e-03
1.57774       	7.807651e-03
1.57812       	7.801353e-03
1.57851       	7.794561e-03
1.57889       	7.787485e-03
1.57927       	7.780614e-03
1.57966       	7.774838e-03
1.58005       	7.646078e-03
1.58043       	6.913389e-03
1.58082       	6.320317e-03
1.58121       	5.906407e-03
1.58159       	5.661863e-03
1.58198       	5.814776e-03
1.58237       	6.272280e-03
1.58276       	6.029854e-03
1.58315       	5.780555e-03
1.58355       	5.533532e-03
1.58394       	5.288928e-03
1.58433       	5.048574e-03
1.58473       	4.812695e-03
1.58512       	4.580562e-03
1.58551       	4.349533e-03
1.58591       	4.122795e-03
1.58631       	3.899275e-03
1.5867        	3.679020e-03
1.5871        	3.474265e-03
1.5875        	3.338514e-03
1.5879        	3.172151e-03
1.5883        	3.071744e-03
1.58869       	7.372910e-03
1.58911       	6.736587e-03
1.58954       	6.148274e-03
1.58996       	5.575675e-03
1.59037       	5.042103e-03
1.59077       	4.673312e-03
1.59116       	6.171442e-03
1.59155       	6.785534e-03
1.59195       	6.620754e-03
1.59235       	6.445304e-03
1.59275       	6.379969e-03
1.59315       	6.221805e-03
1.59355       	6.129624e-03
1.59395       	6.128225e-03
1.59435       	6.064502e-03
1.59476       	6.608818e-03
1.59516       	6.556870e-03
1.59556       	6.530420e-03
1.59596       	7.285153e-03
1.59636       	5.621241e-03
1.59676       	4.072665e-03
1.59716       	3.161119e-03
1.59756       	3.434317e-03
1.59796       	3.899229e-03
1.59836       	4.635769e-03
1.59876       	4.185223e-03
1.59916       	3.435164e-03
1.59956       	4.256108e-03
1.59996       	4.139099e-03
1.60036       	4.605427e-03
1.60076       	4.966890e-03
1.60116       	5.899314e-03
1.60156       	4.358277e-03
1.60196       	3.498816e-03
1.60236       	4.603723e-03
1.60276       	6.791229e-03
1.60316       	6.706516e-03
1.60356       	6.667171e-03
1.60396       	6.495169e-03
1.60436       	6.368000e-03
