# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	U_converged   	p_rgh_solver  	p_rgh_initial 	p_rgh_final   	p_rgh_iters   	p_rgh_converged
1.545         	DILUPBiCGStab	4.879430e-07	7.407380e-15	1	1.534930e-06	1.950900e-14	1	false	GAMG	1.902760e-06	6.960380e-10	1	true
1.545         	DILUPBiCGStab	2.261620e-07	4.538470e-15	1	1.120880e-06	1.728160e-14	1	false	GAMG	3.487320e-09	3.569580e-10	1	true
1.545         	DILUPBiCGStab	2.436130e-07	8.088620e-15	1	1.339590e-06	3.485850e-14	1	false	GAMG	2.818340e-09	2.510420e-10	1	true
1.545         	DILUPBiCGStab	2.327490e-07	1.485330e-14	1	1.247180e-06	5.690510e-14	1	false	GAMG	2.727890e-09	2.058870e-10	1	true
1.545         	DILUPBiCGStab	2.457700e-07	2.543340e-14	1	1.316320e-06	9.702210e-14	1	false	GAMG	2.860060e-09	9.225130e-11	1	true
1.545         	DILUPBiCGStab	2.864080e-07	4.468190e-14	1	1.538220e-06	1.703480e-13	1	false	GAMG	3.353730e-09	7.562730e-11	1	true
1.545         	DILUPBiCGStab	3.407210e-07	7.935130e-14	1	1.835670e-06	3.026210e-13	1	false	GAMG	4.190660e-09	7.808740e-11	1	true
1.545         	DILUPBiCGStab	4.076550e-07	1.418200e-13	1	2.199320e-06	5.419100e-13	1	false	GAMG	5.742090e-09	8.039190e-11	1	true
1.545         	DILUPBiCGStab	4.887290e-07	2.546940e-13	1	2.638010e-06	9.632740e-13	1	false	GAMG	7.879330e-09	9.751400e-11	1	true
1.545         	DILUPBiCGStab	5.864090e-07	4.583580e-13	1	3.166330e-06	1.718780e-12	1	false	GAMG	1.196110e-08	1.311070e-10	1	true
1.545         	DILUPBiCGStab	7.041300e-07	8.274640e-13	1	3.802420e-06	3.069970e-12	1	false	GAMG	1.661840e-08	1.532750e-10	1	true
1.545         	DILUPBiCGStab	8.465180e-07	1.502180e-12	1	4.570070e-06	5.484160e-12	1	false	GAMG	2.074180e-08	1.803150e-10	1	true
1.54501       	DILUPBiCGStab	1.018900e-06	2.740810e-12	1	5.497600e-06	9.824440e-12	1	false	GAMG	2.588470e-08	2.225200e-10	1	true
1.54501       	DILUPBiCGStab	1.227940e-06	5.021710e-12	1	6.619850e-06	1.764610e-11	1	false	GAMG	3.227850e-08	2.791050e-10	1	true
1.54501       	DILUPBiCGStab	1.481960e-06	9.229690e-12	1	7.979190e-06	3.176630e-11	1	false	GAMG	4.029320e-08	3.572110e-10	1	true
1.54501       	DILUPBiCGStab	1.791320e-06	1.699120e-11	1	9.628520e-06	5.735630e-11	1	false	GAMG	4.979500e-08	4.634990e-10	1	true
1.54501       	DILUPBiCGStab	2.165130e-06	3.109560e-11	1	1.161240e-05	1.033070e-10	1	false	GAMG	6.192910e-08	6.009270e-10	1	true
