# y+ ()       
# Time        	patch         	min           	max           	average       
1.55          	hub	1.627194e-01	8.089620e+00	3.002655e+00
1.55          	tip	5.375089e+01	9.596042e+01	7.092485e+01
1.555         	hub	3.784031e-02	8.089626e+00	2.975323e+00
1.555         	tip	5.301029e+01	9.622507e+01	7.096540e+01
1.56          	hub	7.864701e-02	8.089626e+00	3.014870e+00
1.56          	tip	5.444503e+01	9.624816e+01	7.096922e+01
1.565         	hub	1.577006e-01	8.089626e+00	3.000707e+00
1.565         	tip	5.565715e+01	9.601123e+01	7.099934e+01
1.57          	hub	1.360158e-01	8.089626e+00	2.980901e+00
1.57          	tip	5.430517e+01	9.567663e+01	7.112112e+01
1.575         	hub	1.809355e-01	8.089432e+00	2.804772e+00
1.575         	tip	5.164386e+01	9.535107e+01	7.143665e+01
1.58          	hub	5.819946e-02	8.089038e+00	2.789145e+00
1.58          	tip	4.917639e+01	9.390470e+01	7.175269e+01
1.585         	hub	7.104292e-02	8.089626e+00	2.540883e+00
1.585         	tip	2.581699e+01	9.789895e+01	7.399592e+01
1.59          	hub	8.964816e-02	8.089526e+00	2.409545e+00
1.59          	tip	5.327610e+01	8.973155e+01	7.409120e+01
1.595         	hub	5.387803e-02	1.138188e+01	2.528611e+00
1.595         	tip	6.225667e+00	8.973224e+01	7.581038e+01
1.6           	hub	3.760640e-02	1.415254e+01	2.613343e+00
1.6           	tip	9.526454e+00	8.991806e+01	7.522525e+01
